ID,LF2d_High_Fear,LF2d_High_Happy,d2LF_High_Fear,d2LF_High_Happy,LF2t_High_Fear,LF2t_High_Happy,t2LF_High_Fear,t2LF_High_Happy,LF2a_High_Fear,LF2a_High_Happy,a2LF_High_Fear,a2LF_High_Happy,LF2b_High_Fear,LF2b_High_Happy,b2LF_High_Fear,b2LF_High_Happy,LF2g_High_Fear,LF2g_High_Happy,g2LF_High_Fear,g2LF_High_Happy,HF2d_High_Fear,HF2d_High_Happy,d2HF_High_Fear,d2HF_High_Happy,HF2t_High_Fear,HF2t_High_Happy,t2HF_High_Fear,t2HF_High_Happy,HF2a_High_Fear,HF2a_High_Happy,a2HF_High_Fear,a2HF_High_Happy,HF2b_High_Fear,HF2b_High_Happy,b2HF_High_Fear,b2HF_High_Happy,HF2g_High_Fear,HF2g_High_Happy,g2HF_High_Fear,g2HF_High_Happy
230712004,-4.9553698376228e-07,-1.4482648306902e-06,0.226694488087787,0.571239273966647,-1.55767220547136e-07,-5.35141140253539e-07,0.384475161196587,1.05581158125061,8.26197035366444e-08,-5.86679146766374e-08,0.348944277738568,0.882604369773611,6.86420574519966e-08,-1.58498621710027e-07,0.45100192163544,1.3408575618352,9.93400897246692e-08,-1.61323318860723e-07,1.14573246993512,4.19983059350985,-4.36840025353978e-06,-4.64335743071672e-06,-0.276411695125851,0.0467956015886546,-1.60591723302939e-06,-1.94121413432756e-06,-0.484567151652393,0.11857314495061,-1.06838177004057e-06,-1.22449027020102e-06,-0.457293862673591,0.10007885100283,-4.4791710999583e-07,-8.3407803953649e-07,-0.574560528874696,0.142597774887385,-3.37597871593578e-07,-5.21600420410236e-07,-1.51807623249137,0.489597040062169
230714005,-2.12791381879873e-07,-1.17587712201494e-06,0.165463165099494,0.188233921421379,-9.1461825487525e-08,-5.92923836599034e-07,0.262298223785488,0.243563109282923,3.11220301512717e-07,-2.46488893858938e-07,0.107842212100874,0.186422500102312,2.0404624184107e-07,-9.21060085780219e-08,0.375010869310397,0.415447822760127,4.37610764107642e-08,-6.45299669385369e-08,0.982126205365577,1.11489401714184,1.3529472429598e-06,-1.74187417231112e-06,0.006290946939634,-0.115297103831637,8.68906852873741e-07,-6.78890233807049e-07,0.0184677595858148,-0.164159544420199,1.37916889755515e-06,-4.10722394295273e-07,0.0446334585467556,-0.1339775340978,3.39385716400643e-07,-1.16851152543241e-07,0.00778063505038815,-0.257139541299738,1.85407907064244e-07,-5.22864599643297e-08,0.00627546893955807,-0.685772918572194
230714006,-3.05751764797995e-06,-2.3657065269894e-06,0.372941309178704,-0.00389870284619602,-5.41319169781201e-07,-6.78893583935028e-08,0.512004318538321,-0.0529107825280931,3.0029916488235e-08,-5.50225426695525e-08,0.366003630375128,-0.0550103620626977,3.96175279529931e-07,3.1517174791297e-07,0.623659411221958,-0.0130704371451903,-7.83715178256257e-08,-4.12878754376801e-08,2.08540864739646,0.146426684994365,-1.01217095109373e-05,-8.24193695524514e-06,-0.0639119043633712,0.0344892699564234,-4.85049225387837e-06,-3.17602338384398e-06,-0.117472699636049,0.0450731805895173,-5.74255886881681e-06,-3.02502342478386e-06,-0.105331710650136,0.0119233196513979,-1.43264173509212e-06,-5.4998643022576e-07,-0.137266106897703,0.0409861530299383,-7.08747181024763e-07,-4.58020484912168e-07,-0.350825303012458,0.227581760518016
230714007,-3.71706641673344e-06,-6.76233233827263e-06,0.101904651124718,0.125167908302701,8.3520851112142e-07,-2.46504647449269e-06,-0.000237976183088302,0.0683269922295337,-2.87765590662778e-07,-6.54322998141694e-07,-0.00748079805077534,-0.140767804699569,-1.33050383928122e-07,-1.34166242654022e-07,-0.000770686452743863,0.0147370887223165,-8.52558618597478e-08,-4.46922488430762e-08,-0.179210643188468,0.00605837737205713,-4.19272861337732e-06,-8.34408275480882e-06,0.0933915275051834,-0.0263970744826732,3.37603725414913e-07,-3.45103625650787e-06,0.143335987124333,-0.0509373961725658,-2.81249626634305e-07,-1.36653248007976e-06,0.183284997663857,-0.0563741409864097,4.75214519626154e-07,-8.98480509050686e-07,0.196968587359965,-0.0661918806062904,-1.05919806307263e-07,-3.97535900332299e-07,0.636157856903699,-0.252852562606544
230716008,-6.25293127962731e-08,5.9914280588403e-07,0.474995094597224,-0.0907994725262554,-1.92615013968007e-08,-4.96178481158146e-09,0.765605557842992,0.0449909198213764,-1.05670930758031e-08,1.37853992661997e-07,0.560049773816782,0.239738931673188,-1.07445152211149e-09,-1.6011474883206e-07,0.420691357663734,0.0839331402155708,-3.16626849011256e-09,-1.6740314842018e-08,1.3397500386677,0.254801401555016,-5.01955695911446e-09,2.93152027737968e-06,-0.388313930234323,0.228322985200791,-9.38241461855882e-09,4.07191140397107e-07,-0.665886721834231,0.49428817405003,2.51208824097328e-09,4.13047876314072e-07,-0.529515737474685,0.463507063673142,1.35260859416897e-09,-3.37925462138546e-08,-0.42916578978106,0.494827830858017,-1.07641846512034e-09,-2.74523336458487e-08,-1.29410335188602,1.24924951849603
230716009,-1.42719183057911e-06,-2.35678095472657e-06,0.216449097549605,0.238818585487237,-1.21429014574582e-07,-5.84955265254798e-07,0.0902726172881513,0.146372382077998,3.64885740214151e-07,-3.04983040198322e-07,-0.161925740880049,-0.0956604957251427,-1.71757184507495e-07,-1.63565604338086e-07,0.240159887569617,0.389720906144508,-1.36483561956965e-08,-5.05792948874729e-08,1.36003754924299,1.72465721664037,-4.00221157499756e-06,-4.12972724882493e-06,-0.100237674970931,0.0437495318178614,-8.99126629275626e-07,-7.05768077442274e-07,-0.201198481409226,0.0425729453967983,2.63064852397274e-07,1.74459909155304e-07,-0.247810381955039,0.0104195778745192,1.71394057932108e-07,-8.15484284251453e-08,-0.261602046678139,0.0725108514635752,-6.90072384835009e-08,-2.1421096111809e-07,-0.584531389757821,0.294836046479994
230717010,-2.25471243852718e-06,-1.96320188651138e-06,0.0336989607518742,-0.0547246329208791,-7.51935173551675e-07,-5.01193330791454e-07,-0.202119976518996,-0.326692622188774,-3.11006297566152e-07,-2.69824362180848e-07,-0.26399390639337,-0.494811014636718,-2.90096189206644e-07,4.14141006601009e-08,0.126497262930554,-0.278423172803143,-1.42226838875057e-07,-7.23592560822433e-08,0.776890609481502,-0.123655833728404,-3.09454313104024e-06,-2.23870893398943e-06,-0.032122464052036,-0.0176248006571605,-1.10208532276911e-06,-6.9577985951623e-07,-0.0242731089806909,-0.010689580909757,-8.01250828881714e-07,-4.02227865828177e-07,-0.042127740224849,-0.00304219912762163,-4.21702665265503e-07,-1.07309744246703e-07,-0.101706065858137,-0.0303345746705753,-3.75867970822987e-07,-2.51660705428339e-07,-0.294250869023303,-0.108098667293439
230717011,-8.45605306520838e-07,-2.462219719257e-06,0.271222819054589,-0.0788337330300488,-7.68292336866409e-07,-7.14338165440187e-07,0.347526440886532,-0.12844148281048,-3.54536857109698e-07,-8.99895990393178e-07,0.292052867410244,-0.234038271843301,5.4446056538801e-07,-3.58352240086812e-07,0.341204098124871,-0.27119022874509,3.29649581411786e-07,-1.69492363161036e-07,0.940472037080422,-0.588622377705796,-2.23523189088939e-06,-1.78276528094197e-06,-0.211378261570427,0.0598620604929839,-7.66150014414099e-07,-5.61694158985315e-07,-0.271742540248857,0.0952683167064204,-4.07947164432927e-07,-2.86435862132347e-07,-0.247173545868933,0.155952616382666,-1.85319384740881e-07,-2.01630020747919e-07,-0.301169656978884,0.18503253072864,-1.38337198863787e-07,-1.06979629083166e-07,-0.81215066601338,0.408838737643138
230717012,-8.51960453085649e-07,-1.6980822607743e-06,0.267847000306214,0.124072688769641,-1.02171023456117e-07,-5.71780224579719e-07,0.394323015197794,0.134212699328487,1.68762219691709e-07,-1.61129416042564e-07,0.349270159473792,0.0295234803767454,1.41609884202885e-07,-8.021055273877e-08,0.461197321982016,0.123191175551891,1.34263222021776e-09,-3.431751857156e-08,1.30819919058464,0.38413252972554,-4.65459616874411e-06,-4.24633377320929e-06,-0.383763740026339,-0.010766199563187,-1.76712010075567e-06,-2.16369922288913e-06,-0.655944872818535,-0.0475658087428443,-1.16511012738607e-06,-9.98751037364399e-07,-0.638847342932054,-0.0675170864925811,-3.19155750648854e-07,-4.37368063329402e-07,-0.736313162784785,-0.0560001722176288,-2.05076163467687e-07,-1.78468987748676e-07,-2.01174090952985,-0.118980826738573
230717013,-9.23720401094764e-07,-3.82043791719396e-06,-0.363866830656163,-0.10826536883534,-1.45313888626886e-06,-1.42616901571943e-06,-0.660822955685444,-0.257199032716035,9.86333419146227e-07,-1.20282718505688e-06,-0.735808823687704,-0.404584093977569,2.32455030966681e-07,-3.15636165497096e-07,-0.805372517346663,-0.269885777088252,1.17997809387831e-07,-3.96169304952755e-08,-2.09262298227173,-0.518744811824463,-1.28088820467543e-06,-2.53797510383192e-06,-0.0304297703829346,-0.0552905396427556,1.06585228202552e-07,1.24598329720849e-06,-0.0537839335697771,-0.0860172402694107,-1.46585450825347e-06,2.07157317765043e-06,-0.0261257406739368,-0.0530272899039993,-1.10108269760591e-06,8.06894961197323e-07,-0.0623110304620343,-0.109404199348466,-1.32298289669907e-07,-1.66948723063934e-07,-0.205045372400224,-0.351240893167025
