Time,Fear_Falpha,Fear_Calpha,Fear_Palpha,Happy_Falpha,Happy_Calpha,Happy_Palpha,Neutral_Falpha,Neutral_Calpha,Neutral_Palpha,Fear_Fgamma,Fear_Cgamma,Fear_Pgamma,Happy_Fgamma,Happy_Cgamma,Happy_Pgamma,Neutral_Fgamma,Neutral_Cgamma,Neutral_Pgamma,Fear_Fdelta,Fear_Cdelta,Fear_Pdelta,Happy_Fdelta,Happy_Cdelta,Happy_Pdelta,Neutral_Fdelta,Neutral_Cdelta,Neutral_Pdelta,Fear_Ftheta,Fear_Ctheta,Fear_Ptheta,Happy_Ftheta,Happy_Ctheta,Happy_Ptheta,Neutral_Ftheta,Neutral_Ctheta,Neutral_Ptheta,Fear_Fbeta,Fear_Cbeta,Fear_Pbeta,Happy_Fbeta,Happy_Cbeta,Happy_Pbeta,Neutral_Fbeta,Neutral_Cbeta,Neutral_Pbeta
1,0.0774060784227062,-0.0266854370627771,0.0742519829465424,-0.0129654451243433,0.022965367731924,-0.069376231849626,2.43342318895219,2.15974595384284,2.37985431846768,0.13326361753982,0.132567310618917,0.136791736905762,0.115208973700014,0.0881142378045512,0.115356989414371,0.422585010099002,-0.25244689478574,0.0293821666352741,0.145938448603202,0.134961980121013,0.0930820588458082,-0.0824021584522483,0.0295236472089231,-0.0473201375681691,4.00812226120042,3.33037660531022,3.92818738574696,0.0754160535360309,0.0505297692681907,0.172413047448603,-0.0193176578655283,-0.0201801568024741,-0.0191843915365298,2.6031379950982,2.1412329746652,2.51569732089566,0.0525230311863776,-0.00568721023939882,0.0339183504583641,0.0363624311039697,0.0299776810485978,0.0434652073708814,2.23156562593912,1.69659720060935,2.06109596906112
2,0.060223595022445,-0.0175043397165764,0.0144068392051126,0.107286615294803,0.0512293639439962,0.0223576068683199,2.48262495932118,2.23970593991074,2.47612004205401,0.0926425808194853,0.111840454539309,0.142690393829711,0.00357211664378747,0.00909847842131065,0.0489182399052453,0.429645518137508,-0.26231224782601,0.0549229590148408,0.0866210347591542,0.0477510872275446,-0.021613142787344,-0.171331922363766,-0.100260938412968,-0.179288985282988,3.99245059726929,3.35477273626865,3.98994036271096,-0.0364725696819692,-0.071875685914257,-0.0145801693191552,-0.0180215673086869,-0.0546653100742615,0.037008572197271,2.6992582746853,2.17608925015866,2.66088649126786,-0.000213096340827771,0.0107265977806163,0.0188899977224467,0.0291300731084531,0.0426367492284861,0.0563371290498176,2.20967425842927,1.68040441485058,2.03136555441381
3,-0.0522352741867286,-0.10092974090949,-0.0615395751826467,0.0719963747793104,0.0107538433623263,-0.00250794679422199,2.44423371310967,2.21355662326677,2.4036160135865,0.129090931409932,0.106816336450835,0.143692945214432,0.0695813033981823,0.0122594032268196,0.0505857395656111,0.382973176176188,-0.322444997560353,-0.0500741110974391,-0.0479346155030942,-0.0405180041288017,-0.0786714452806139,0.175560445551482,0.122781796066205,0.171241048764314,3.86486451181885,3.24693412516032,3.79548735197742,-0.0154932511333635,-0.0137996695263325,0.0121962920438536,0.132286816869162,0.0762119732373711,0.158531532809486,2.51441402097882,2.09770182625591,2.44919075606542,0.0253250576525018,0.00603944060009217,0.0280904498161337,0.0262766117705792,0.00920516110003903,0.0414341987728636,2.15164456929657,1.62220800949093,1.92873495564396
4,-0.0850677961815792,-0.0883130840958693,-0.0158778604142653,-0.144205676045951,-0.123161138745967,-0.19954806251473,2.44949163156525,2.18226902469724,2.41146282599021,0.0069468905726986,0.0371857616039839,0.045863566266574,0.110796948971296,0.0431557775711407,0.0640384155065846,0.3996887998684,-0.233644489290386,0.0102816721536763,-0.169468068174603,-0.0570449494409136,-0.0921464532839356,-0.322727200453506,-0.209665581314985,-0.324300999814044,3.98015696073544,3.27950412272411,3.90411875198758,-0.0573866237936882,-0.0262764957540995,-0.0274242460874484,-0.11799733794066,-0.106752569541687,-0.145791351831921,2.61800239228006,2.14033829822467,2.5461192650422,-0.0507529334923819,-0.0556904980959871,-0.034672506974442,-0.0567999053199422,-0.0574102217322532,-0.0577204330263914,2.17910511365645,1.67118636339372,1.96791884317485
5,0.0049429167904557,-0.0726394950942705,0.00177263523496732,0.0181530011146375,-0.0542945307598804,-0.0738414290881489,2.45443840976429,2.20597556628446,2.41825450834363,0.0327044312108557,0.0334616854585805,0.0619143902226771,0.0629925033215615,0.0256244486485421,0.0931930566334365,0.37383931830504,-0.240292489304597,-0.0107660166381339,-0.131356513037036,-0.0725914531810941,-0.0787926518780356,-0.140187760374956,-0.0958808234590043,-0.129137649313654,3.97891234156212,3.31341012132372,3.92624200935921,-0.00593403691492461,0.00130328492344629,0.0909701313903165,-0.0307195910543596,-0.0641596743588028,-0.0172315129610627,2.62246659875283,2.08767578939503,2.5510995431617,-0.0684712022102821,-0.0571043041336995,-0.0167131503955822,-0.0195208106672428,-0.0546564307316985,-0.00768267901037296,2.15981130335761,1.66328196524737,1.96722464625683
6,-0.0207013555504453,-0.111927169550943,-0.0869286924721207,-0.0417163887504627,-0.0629535502148621,-0.113606151799838,2.42630999510535,2.19871304059988,2.42796095460034,0.00992540640857005,-0.00106907501611676,0.0470180986653335,0.00427388980818658,-0.00559979545089902,0.0210717167088536,0.359685173161305,-0.271492282759845,0.00601847959724757,0.0993795981792397,0.0964677891624303,0.181738847001185,-0.267199575215335,-0.178483988378162,-0.181962503084934,3.96170085397287,3.32911876122365,3.94377149847927,-0.0218808496298618,0.045183544899677,0.105180941142812,-0.180779297539687,-0.163583667602133,-0.177410990268918,2.60391301888207,2.13934675296556,2.5873431092087,0.0096703804821287,-0.041201806460841,-0.0152752387663238,-0.0320555274286836,-0.0464464227393392,-0.0599056455037547,2.23002055624932,1.7165035519961,2.07514309153481
7,-0.128596419320762,-0.188021106627409,-0.180569116168456,-0.0692728663027849,-0.0308573917388561,-0.0248689369187426,2.50269326397411,2.25126649805281,2.47994165440256,-0.0621642824470337,-0.0129212552766905,0.017598699187953,0.00393069959208136,-0.0272701471985552,0.00992031278418846,0.354403705511864,-0.32584103975438,-0.0352550219787611,-0.0547089864108362,-0.0518657995537314,-0.0303480767788814,-0.20905070520974,-0.100266042572701,-0.0750029722461638,3.87905917518775,3.21929380615451,3.85845122116378,-0.154630539923492,-0.112826581472861,-0.171890515383756,-0.116225427406617,-0.0563991898321808,-0.0438528966360606,2.57625901954414,2.11095096064501,2.54933818776268,-0.0533749365203988,-0.0656342653917773,-0.0564919395098851,-0.0452335717077007,-0.0430387200062961,-0.0332044339801642,2.18898493693149,1.69139002422668,2.02089541432404
8,-0.175105593485474,-0.174077654866086,-0.200970725279716,-0.134335578277869,-0.0781211404109078,-0.102674239653248,2.50980100231258,2.29571220325235,2.49432001766439,-0.104480374682684,-0.0372786778527551,-0.0264186824718174,0.00361495854989908,0.00320674606377453,0.0174479285011112,0.306997404615462,-0.378135034457468,-0.110166330438121,-0.19835494153224,-0.172729659992146,-0.244113320467471,-0.195821908915542,-0.128600000795935,-0.127314577342077,3.93126927904204,3.30862772410605,3.96531391593338,-0.219707899285585,-0.147565936771369,-0.210389157447987,-0.0835155694576464,-0.0535921761234881,-0.0486023815678804,2.57385680051042,2.14776359300374,2.57982095136998,-0.0968151354132935,-0.0833760487937242,-0.100614226175309,-0.0231306854822801,-0.0379825443426716,-0.0139592251688312,2.20230472028137,1.69926724842962,2.00524597265251
9,-0.122555333575745,-0.124018811846527,-0.144698295296545,-0.0632892985499132,-0.0517030129310006,-0.0683332990139602,2.46858083900122,2.27742045901621,2.42310281494299,-0.0436538841793573,0.00605382904431645,0.0399893967400281,-0.0466417842345646,-0.00252072059872188,0.00462851587812451,0.306453622345819,-0.392526355460683,-0.146985233687244,-0.160952496638009,-0.0766742393099501,-0.117271251465161,-0.209701985690785,-0.186880333889992,-0.176510299678861,3.92356183013511,3.2935796443574,3.89603047502718,-0.158824566651675,-0.0535049333919753,-0.03075668062429,-0.130550593596022,-0.0800844455025042,-0.124188004420848,2.57862181500111,2.11515259273165,2.49939675144383,-0.0488439861026804,-0.0615764084958521,-0.0599015418498846,-0.0352228205437154,0.0166436922892025,0.00212319911368727,2.18838170749494,1.65584629589453,1.98564067896616
10,-0.0965062659846141,-0.116241997654375,-0.108753264546465,0.00852624227673942,-0.00254178139679132,-0.0181227172097059,2.42996968475245,2.2242117614751,2.38620753495414,-0.0402780683293254,0.0110966407925476,0.0623013981410812,-0.0930607585099942,-0.0458013138202615,-0.017169012759831,0.325684315116112,-0.3604803164631,-0.0878728398115711,-0.191214050382039,-0.107453986102544,-0.182121111465664,-0.151501579634588,-0.109736475608048,-0.143409712088867,3.9119297105639,3.27624478263797,3.89630139420343,-0.120765146150911,-0.0930809319187883,-0.137115601110758,-0.0532530034469493,0.045551862266904,-0.0270872144015914,2.575320623736,2.11459162356267,2.46002817955911,-0.0511725533742314,-0.0573899059150602,-0.0389256634573977,-0.0646509724127338,-0.0456501553963325,-0.0208170978934424,2.19911122099901,1.70112984137903,2.04308745070631
