ID,TEP_100_Fear_Ftl,TEP_100_Happy_Ftl,TEP_100_Neutral_Ftl,TEP_100_Fear_Ctl,TEP_100_Happy_Ctl,TEP_100_Neutral_Ctl,TEP_100_Fear_Ptr,TEP_100_Happy_Ptr,TEP_100_Neutral_Ptr
230712004,0.538553878873334,-0.231680225937614,0.377001579995055,-0.0161700923442799,0.200439492451556,-0.22039772612762,-0.488081470800145,-0.0547990887994872,-0.055562366779244
230714005,0.910746509100804,0.244434381590415,0.135048549028421,-0.0855907339531549,0.613187314688064,0.452610678003493,-0.745687766831955,-1.07066732036865,-0.747302111644649
230714006,1.60797341808665,0.793300104361522,0.0414093773835596,-0.63634296940927,-0.389740922156702,-0.243831288288205,-0.652558105528634,-0.218217787416683,0.294433896024952
230714007,-0.671162419824288,0.234797963666775,-0.197579700914289,0.183939841820903,0.0568783468866925,0.0322509555044708,0.384130777847286,-0.30027330269146,0.14304797323059
230716008,-0.740779472353258,-1.69174827331144,-0.346503682786626,0.16168850573276,0.0196811556553195,-0.142439465486993,0.480533208208362,1.57577702810997,0.523183942413825
230716009,-0.675204357726287,-0.639099672594705,-0.215206440832985,0.498530660430412,0.276634538716044,0.123849516749277,-0.0425323337579819,0.22691040922194,0.0344019282805857
230717010,-0.973960471429465,-0.58157943848498,0.392561840543212,0.48791475390446,0.218864074353275,0.423057106889989,0.255026572838849,0.251471643315961,-0.950820793529022
230717011,1.24121132210558,-0.0384616691460702,0.505139504872789,-0.187698695841541,-0.386439601557167,0.00403649139268606,-0.919033104335446,0.565249757770724,-0.484076699125385
230717012,0.853828893763323,1.27426915768022,0.166556602618954,0.171962685688497,0.204797262360516,0.0763513371410842,-1.04420760831428,-1.48745069373441,-0.262270989192737
230717013,0.761176377607219,1.7436069281592,0.131173615567491,-0.0906414884355231,-0.501411256755806,0.035129802942503,-0.597078367898584,-0.965696019634335,-0.172341816717338
230718015,-0.89842698543177,-0.855255290491756,-1.04471692544678,0.0836309303888495,-0.218848245599706,-0.0952214570779528,0.73669921911729,1.10971840736293,1.12003500716574
230718016,-0.317386712182048,-1.64088297029496,-0.0268838066717204,0.656291501832958,0.251448986400958,0.279981728537617,-0.597400578449489,1.21043274250307,-0.357663805821256
230719017,2.21688399630606,2.76012631691332,1.57343782719227,-0.108461691949858,0.0372684565250076,-0.210467377155709,-1.95178409799125,-2.66585500093177,-1.20261677006512
230719018,0.46683587763085,1.00826948945625,0.0934163802474026,0.304044391125557,0.211961781982479,0.216153647894256,-0.858325914327773,-1.24525514873964,-0.384288626525869
