Time,Fear_Intensity,Happy_Intensity,High_Fear,High_Happy
106,5.34444444433333,5.21111111133333,0,0
107,5.57777777766667,5.31111111133333,0,0
108,5.811111111,5.41111111133333,0,0
109,6.04444444433333,5.51111111133333,0,0
110,6.27777777766667,5.61111111133333,0,0
111,6.3888888888,5.477777778,0,0
112,6.49999999993333,5.34444444466667,0,0
113,6.61111111106667,5.21111111133333,0,0
114,6.7222222222,5.077777778,0,0
115,6.83333333333333,4.94444444466667,0,0
116,6.85555555553333,4.81111111133333,1,0
117,6.87777777773333,4.677777778,1,0
118,6.89999999993333,4.54444444466667,1,0
119,6.92222222213333,4.41111111133333,1,0
120,6.94444444433333,4.277777778,1,0
121,7.011111111,4.4000000002,1,0
122,7.07777777766667,4.5222222224,1,0
123,7.14444444433333,4.6444444446,1,0
124,7.211111111,4.7666666668,1,0
125,7.27777777766667,4.888888889,1,0
126,7.37777777766667,5.07777777786667,1,0
127,7.47777777766667,5.26666666673333,1,0
128,7.57777777766667,5.4555555556,1,0
129,7.67777777766667,5.64444444446667,1,0
130,7.77777777766667,5.83333333333333,1,0
131,7.92222222213333,5.9222222222,1,1
132,8.0666666666,6.01111111106667,1,1
133,8.21111111106667,6.09999999993333,1,1
134,8.35555555553333,6.1888888888,1,1
135,8.5,6.27777777766667,1,1
136,8.5,6.14444444433333,1,1
137,8.5,6.011111111,1,1
138,8.5,5.87777777766667,1,1
139,8.5,5.74444444433333,1,0
140,8.5,5.611111111,1,0
141,8.44444444446667,5.611111111,1,0
142,8.38888888893333,5.611111111,1,0
143,8.3333333334,5.611111111,1,0
144,8.27777777786667,5.611111111,1,0
145,8.22222222233333,5.611111111,1,0
146,8.16666666673333,5.711111111,1,0
147,8.11111111113333,5.811111111,1,0
148,8.05555555553333,5.911111111,1,1
149,7.99999999993333,6.011111111,1,1
150,7.94444444433333,6.111111111,1,1
151,7.84444444433333,6.24444444433333,1,1
152,7.74444444433333,6.37777777766667,1,1
153,7.64444444433333,6.511111111,1,1
154,7.54444444433333,6.64444444433333,1,1
155,7.44444444433333,6.77777777766667,1,1
156,7.38888888873333,6.84444444433333,1,1
157,7.33333333313333,6.911111111,1,1
158,7.27777777753333,6.97777777766667,1,1
159,7.22222222193333,7.04444444433333,1,1
160,7.16666666633333,7.111111111,1,1
161,7.1888888886,7.12222222213333,1,1
162,7.21111111086667,7.13333333326667,1,1
163,7.23333333313333,7.1444444444,1,1
