ID,r_HANE_alpha_Frontal_HF,r_HANE_alpha_Frontal_LF,r_HANE_alpha_Frontal_IBI,r_FENE_alpha_Frontal_HF,r_FENE_alpha_Frontal_LF,r_FENE_alpha_Frontal_IBI,r_HANE_alpha_Central_HF,r_HANE_alpha_Central_LF,r_HANE_alpha_Central_IBI,r_FENE_alpha_Central_HF,r_FENE_alpha_Central_LF,r_FENE_alpha_Central_IBI,r_HANE_alpha_Posterior_HF,r_HANE_alpha_Posterior_LF,r_HANE_alpha_Posterior_IBI,r_FENE_alpha_Posterior_HF,r_FENE_alpha_Posterior_LF,r_FENE_alpha_Posterior_IBI,r_HANE_beta_Frontal_HF,r_HANE_beta_Frontal_LF,r_HANE_beta_Frontal_IBI,r_FENE_beta_Frontal_HF,r_FENE_beta_Frontal_LF,r_FENE_beta_Frontal_IBI,r_HANE_beta_Central_HF,r_HANE_beta_Central_LF,r_HANE_beta_Central_IBI,r_FENE_beta_Central_HF,r_FENE_beta_Central_LF,r_FENE_beta_Central_IBI,r_HANE_beta_Posterior_HF,r_HANE_beta_Posterior_LF,r_HANE_beta_Posterior_IBI,r_FENE_beta_Posterior_HF,r_FENE_beta_Posterior_LF,r_FENE_beta_Posterior_IBI,r_HANE_delta_Frontal_HF,r_HANE_delta_Frontal_LF,r_HANE_delta_Frontal_IBI,r_FENE_delta_Frontal_HF,r_FENE_delta_Frontal_LF,r_FENE_delta_Frontal_IBI,r_HANE_delta_Central_HF,r_HANE_delta_Central_LF,r_HANE_delta_Central_IBI,r_FENE_delta_Central_HF,r_FENE_delta_Central_LF,r_FENE_delta_Central_IBI,r_HANE_delta_Posterior_HF,r_HANE_delta_Posterior_LF,r_HANE_delta_Posterior_IBI,r_FENE_delta_Posterior_HF,r_FENE_delta_Posterior_LF,r_FENE_delta_Posterior_IBI,r_HANE_theta_Frontal_HF,r_HANE_theta_Frontal_LF,r_HANE_theta_Frontal_IBI,r_FENE_theta_Frontal_HF,r_FENE_theta_Frontal_LF,r_FENE_theta_Frontal_IBI,r_HANE_theta_Central_HF,r_HANE_theta_Central_LF,r_HANE_theta_Central_IBI,r_FENE_theta_Central_HF,r_FENE_theta_Central_LF,r_FENE_theta_Central_IBI,r_HANE_theta_Posterior_HF,r_HANE_theta_Posterior_LF,r_HANE_theta_Posterior_IBI,r_FENE_theta_Posterior_HF,r_FENE_theta_Posterior_LF,r_FENE_theta_Posterior_IBI,r_HANE_gamma_Frontal_HF,r_HANE_gamma_Frontal_LF,r_HANE_gamma_Frontal_IBI,r_FENE_gamma_Frontal_HF,r_FENE_gamma_Frontal_LF,r_FENE_gamma_Frontal_IBI,r_HANE_gamma_Central_HF,r_HANE_gamma_Central_LF,r_HANE_gamma_Central_IBI,r_FENE_gamma_Central_HF,r_FENE_gamma_Central_LF,r_FENE_gamma_Central_IBI,r_HANE_gamma_Posterior_HF,r_HANE_gamma_Posterior_LF,r_HANE_gamma_Posterior_IBI,r_FENE_gamma_Posterior_HF,r_FENE_gamma_Posterior_LF,r_FENE_gamma_Posterior_IBI
230712004,-0.10376160487049,-0.0222961359793968,0.188790408920179,-0.0594108119411262,-0.0490945713824021,0.142137352869769,-0.110250207245096,0.0836937672964749,-0.00738009013180119,-0.0594108119411262,-0.0490945713824021,0.142137352869769,-0.110250207245096,0.0836937672964749,-0.00738009013180119,0.0291486597822766,-0.00395742638653724,-0.0336895684114692,-0.110250207245096,0.0836937672964749,-0.00738009013180119,0.0291486597822766,-0.00395742638653724,-0.0336895684114692,0.0326194884508887,0.124723804223141,0.00828121256485249,0.0291486597822766,-0.00395742638653724,-0.0336895684114692,0.0326194884508887,0.124723804223141,0.00828121256485249,0.0659796898574742,0.193769575860738,-0.159443866003568,0.0326194884508887,0.124723804223141,0.00828121256485249,0.0659796898574742,0.193769575860738,-0.159443866003568,-0.0776384100454225,0.0289340299282904,-0.10597223952586,-0.0555800402334782,0.0191142659746369,0.0745945011599525,-0.129034673916177,-0.0326540000797579,0.0458873734925892,-0.144435576233382,-0.0775975502016626,0.0482574899350891,-0.129034673916177,-0.0326540000797579,0.0458873734925892,-0.144435576233382,-0.0775975502016626,0.0482574899350891,0.0807627325927186,0.039982200206116,-0.173196431804168,-0.144435576233382,-0.0775975502016626,0.0482574899350891,0.0807627325927186,0.039982200206116,-0.173196431804168,-0.0254742350504222,-0.0215852351451642,-0.187704576235278,0.0807627325927186,0.039982200206116,-0.173196431804168,-0.0254742350504222,-0.0215852351451642,-0.187704576235278,0.0369004924142754,0.0427852487375301,-0.154479953557787,-0.0254742350504222,-0.0215852351451642,-0.187704576235278,0.0369004924142754,0.0427852487375301,-0.154479953557787,-0.014302527582336,0.046782108546837,-0.0555167934014623
230714005,-0.0789582466582965,-0.064698958991312,0.0219882523752951,0.110882634128115,-0.0239978779303458,0.085426246857105,-0.0192848052221864,0.0831153793598189,-0.0261685607493981,0.110882634128115,-0.0239978779303458,0.085426246857105,-0.0192848052221864,0.0831153793598189,-0.0261685607493981,0.012420557445976,-0.00610080709043276,-0.15277443312171,-0.0192848052221864,0.0831153793598189,-0.0261685607493981,0.012420557445976,-0.00610080709043276,-0.15277443312171,-0.070132661017205,-0.0316647377316079,0.00426394775619662,0.012420557445976,-0.00610080709043276,-0.15277443312171,-0.070132661017205,-0.0316647377316079,0.00426394775619662,-0.0132324756584983,-0.0292090565102124,-0.129576797482557,-0.070132661017205,-0.0316647377316079,0.00426394775619662,-0.0132324756584983,-0.0292090565102124,-0.129576797482557,0.0374679816967445,-0.054240912061689,-0.0131425560495785,-0.112695420418667,-0.126422806340385,-0.0610079491132882,-0.188611478298325,-0.0834027845699786,-0.0720631819432697,-0.221765713532263,-0.066343647871901,-0.0995501809730979,-0.188611478298325,-0.0834027845699786,-0.0720631819432697,-0.221765713532263,-0.066343647871901,-0.0995501809730979,-0.370937499909419,0.0187836175120637,-0.382105973696313,-0.221765713532263,-0.066343647871901,-0.0995501809730979,-0.370937499909419,0.0187836175120637,-0.382105973696313,-0.28889377198571,-0.0256505145489809,-0.366549059010009,-0.370937499909419,0.0187836175120637,-0.382105973696313,-0.28889377198571,-0.0256505145489809,-0.366549059010009,-0.19530708774117,-0.00636352032855484,-0.28772474685152,-0.28889377198571,-0.0256505145489809,-0.366549059010009,-0.19530708774117,-0.00636352032855484,-0.28772474685152,-0.0403962752746046,-0.0931989808999675,0.0477414218779457
230714006,-0.221465482565816,0.296749200841131,-0.0950401269690946,0.0429301136926058,0.220885411035004,-0.0834752901165846,-0.0230729569127225,0.228976052070658,-0.0805905381434119,0.0429301136926058,0.220885411035004,-0.0834752901165846,-0.0230729569127225,0.228976052070658,-0.0805905381434119,-0.00257911612919304,0.243374769230927,0.0754723807570855,-0.0230729569127225,0.228976052070658,-0.0805905381434119,-0.00257911612919304,0.243374769230927,0.0754723807570855,-0.0291269606099166,0.277311539620406,0.0349040371611063,-0.00257911612919304,0.243374769230927,0.0754723807570855,-0.0291269606099166,0.277311539620406,0.0349040371611063,0.0206577062095661,0.188666192253573,0.0137503776529775,-0.0291269606099166,0.277311539620406,0.0349040371611063,0.0206577062095661,0.188666192253573,0.0137503776529775,-0.0591065630588103,0.155274411674503,0.0068604288209029,-0.0322577861326387,-0.055318964066556,0.0844176279931698,-0.0223782387111785,-0.0568906310848051,0.0314114528016299,-0.0575199857579046,-0.121793424299928,0.0927718963332127,-0.0223782387111785,-0.0568906310848051,0.0314114528016299,-0.0575199857579046,-0.121793424299928,0.0927718963332127,-0.0299393048023696,0.084942534891473,0.0963749083184313,-0.0575199857579046,-0.121793424299928,0.0927718963332127,-0.0299393048023696,0.084942534891473,0.0963749083184313,-0.0510754648624141,0.061130511356506,0.0612290920193096,-0.0299393048023696,0.084942534891473,0.0963749083184313,-0.0510754648624141,0.061130511356506,0.0612290920193096,-0.0269139987323587,0.0146894066605875,0.0628002071702223,-0.0510754648624141,0.061130511356506,0.0612290920193096,-0.0269139987323587,0.0146894066605875,0.0628002071702223,0.0279551201139799,0.0967633437047512,0.115049813936678
230714007,-0.157954548215718,-0.0593624027687534,-0.00101085622303688,-0.13308232090282,0.0837021754483224,0.107936764946924,-0.167160431211672,0.173354617134077,-0.057074885575607,-0.13308232090282,0.0837021754483224,0.107936764946924,-0.167160431211672,0.173354617134077,-0.057074885575607,-0.147041042311585,0.227237690282966,-0.027456798302048,-0.167160431211672,0.173354617134077,-0.057074885575607,-0.147041042311585,0.227237690282966,-0.027456798302048,-0.119398336900161,0.219487103694407,-0.0857896466332458,-0.147041042311585,0.227237690282966,-0.027456798302048,-0.119398336900161,0.219487103694407,-0.0857896466332458,-0.162377485375228,0.210418872334319,0.0333036379287511,-0.119398336900161,0.219487103694407,-0.0857896466332458,-0.162377485375228,0.210418872334319,0.0333036379287511,0.0480572491077677,0.0808565921081362,-0.091372142061711,0.0770463557116524,0.124980454643066,-0.0548573015600702,0.0481144006523742,0.0421532581070682,-0.0955191317405421,0.0596136059222863,-0.0372240862753671,-0.0272111861604205,0.0481144006523742,0.0421532581070682,-0.0955191317405421,0.0596136059222863,-0.0372240862753671,-0.0272111861604205,0.0180103026242997,0.120571347563279,-0.197644304286722,0.0596136059222863,-0.0372240862753671,-0.0272111861604205,0.0180103026242997,0.120571347563279,-0.197644304286722,0.0120585467414524,-0.0424023719080124,-0.0339541816320646,0.0180103026242997,0.120571347563279,-0.197644304286722,0.0120585467414524,-0.0424023719080124,-0.0339541816320646,0.109711614337529,0.0563812764463356,-0.127814818943314,0.0120585467414524,-0.0424023719080124,-0.0339541816320646,0.109711614337529,0.0563812764463356,-0.127814818943314,-0.113218803360449,0.106722038307405,-0.125304008548957
230716008,0.241718994480944,0.119891854433933,-0.0355361646964699,0.154228139855754,0.0514241365773139,-0.124498344204935,0.170027614158883,0.0943479163168184,-0.195777148740362,0.154228139855754,0.0514241365773139,-0.124498344204935,0.170027614158883,0.0943479163168184,-0.195777148740362,-0.148172341966894,-0.12185817951667,-0.170853453666437,0.170027614158883,0.0943479163168184,-0.195777148740362,-0.148172341966894,-0.12185817951667,-0.170853453666437,-0.113354127842384,-0.0930246610933789,-0.28494457560805,-0.148172341966894,-0.12185817951667,-0.170853453666437,-0.113354127842384,-0.0930246610933789,-0.28494457560805,-0.0143719321178253,0.000151739283854725,-0.281698221105415,-0.113354127842384,-0.0930246610933789,-0.28494457560805,-0.0143719321178253,0.000151739283854725,-0.281698221105415,0.220150188031313,0.0874804822109708,-0.0528573354513231,0.185937026644181,0.102611259801818,0.0713320226277632,0.224809400388863,0.175175950228818,0.114874817605027,0.149073613979211,0.0736138212405906,0.0871182883945167,0.224809400388863,0.175175950228818,0.114874817605027,0.149073613979211,0.0736138212405906,0.0871182883945167,0.0559805314217532,0.126622467514102,-0.0474174013963674,0.149073613979211,0.0736138212405906,0.0871182883945167,0.0559805314217532,0.126622467514102,-0.0474174013963674,0.0885745557548734,0.072153248975637,-0.0732342822500072,0.0559805314217532,0.126622467514102,-0.0474174013963674,0.0885745557548734,0.072153248975637,-0.0732342822500072,0.0913752756367671,0.0624819802462144,-0.00660906653689688,0.0885745557548734,0.072153248975637,-0.0732342822500072,0.0913752756367671,0.0624819802462144,-0.00660906653689688,0.0286924472844645,-0.0363392966361193,0.0124017876159217
230716009,-0.10287519725786,0.0882991864727856,-0.0159643379502177,-0.0382884341672925,-0.142271158827233,0.083214133656286,-0.0866014654786684,-0.000844923720889627,0.158874859331769,-0.0382884341672925,-0.142271158827233,0.083214133656286,-0.0866014654786684,-0.000844923720889627,0.158874859331769,-0.0830347869420696,-0.000458762792121959,0.0937547480199073,-0.0866014654786684,-0.000844923720889627,0.158874859331769,-0.0830347869420696,-0.000458762792121959,0.0937547480199073,-0.0885623525805989,0.0253064537854484,0.145052775964289,-0.0830347869420696,-0.000458762792121959,0.0937547480199073,-0.0885623525805989,0.0253064537854484,0.145052775964289,-0.0880355323965174,-0.0682051425797781,0.175092675663004,-0.0885623525805989,0.0253064537854484,0.145052775964289,-0.0880355323965174,-0.0682051425797781,0.175092675663004,-0.150461734476059,0.257491531477698,-0.0363006527685457,-0.0943551454479076,0.073053622761837,-0.0342343265685043,-0.0246892154578466,0.0853098921082787,-0.0238150613755585,-0.0107461532018082,0.0392443228883753,0.0334887546019258,-0.0246892154578466,0.0853098921082787,-0.0238150613755585,-0.0107461532018082,0.0392443228883753,0.0334887546019258,-0.0824264305224775,0.11635370227733,-0.202343899108932,-0.0107461532018082,0.0392443228883753,0.0334887546019258,-0.0824264305224775,0.11635370227733,-0.202343899108932,-0.0917475733504187,0.142482229060224,-0.186577625291932,-0.0824264305224775,0.11635370227733,-0.202343899108932,-0.0917475733504187,0.142482229060224,-0.186577625291932,0.0151501428361058,0.117538299484359,-0.25302717084234,-0.0917475733504187,0.142482229060224,-0.186577625291932,0.0151501428361058,0.117538299484359,-0.25302717084234,-0.0505031959404228,0.207388340687713,-0.142521969494957
230717010,-0.0671528582092493,8.34535787999487e-05,-0.0577369277317743,-0.0878338016796446,0.0617134244438642,-0.0731451551074576,-0.104564710804566,0.00425723519979721,0.0490679951447923,-0.0878338016796446,0.0617134244438642,-0.0731451551074576,-0.104564710804566,0.00425723519979721,0.0490679951447923,-0.0649103604833609,0.115184103219384,0.0722800557563821,-0.104564710804566,0.00425723519979721,0.0490679951447923,-0.0649103604833609,0.115184103219384,0.0722800557563821,0.147310119750113,0.20816211487309,0.0805845418721469,-0.0649103604833609,0.115184103219384,0.0722800557563821,0.147310119750113,0.20816211487309,0.0805845418721469,0.0848068061823266,0.0750823982469382,0.145428004620037,0.147310119750113,0.20816211487309,0.0805845418721469,0.0848068061823266,0.0750823982469382,0.145428004620037,-0.0622006428887556,-0.018551073001969,0.0350952466043823,0.0837011268339661,-0.0194190926432917,0.14137893001979,0.141978449661023,-0.067693393185046,0.096115813727196,0.0796014532398133,-0.0992099482818084,0.174432668298516,0.141978449661023,-0.067693393185046,0.096115813727196,0.0796014532398133,-0.0992099482818084,0.174432668298516,0.0839594063500416,0.118371890006566,0.062062470972952,0.0796014532398133,-0.0992099482818084,0.174432668298516,0.0839594063500416,0.118371890006566,0.062062470972952,0.0688881494050588,0.0378226018733034,0.0256073266015612,0.0839594063500416,0.118371890006566,0.062062470972952,0.0688881494050588,0.0378226018733034,0.0256073266015612,0.0147285614054694,0.0489179874186953,0.127236240823015,0.0688881494050588,0.0378226018733034,0.0256073266015612,0.0147285614054694,0.0489179874186953,0.127236240823015,0.0645605912905095,-0.105246288468684,-0.0156163988446824
230717011,-0.154963825726133,-0.131842054981653,0.0193067446083683,-0.145935827209643,-0.108498186035037,-0.00827398038892993,-0.170292873706406,-0.14450404402443,0.0193907079518061,-0.145935827209643,-0.108498186035037,-0.00827398038892993,-0.170292873706406,-0.14450404402443,0.0193907079518061,0.16142451652191,0.043617883017863,-0.107209649222886,-0.170292873706406,-0.14450404402443,0.0193907079518061,0.16142451652191,0.043617883017863,-0.107209649222886,0.0947843682457405,0.0674867498677764,-0.0999083919416511,0.16142451652191,0.043617883017863,-0.107209649222886,0.0947843682457405,0.0674867498677764,-0.0999083919416511,-0.132537416602988,-0.115326470789672,-0.108740239270665,0.0947843682457405,0.0674867498677764,-0.0999083919416511,-0.132537416602988,-0.115326470789672,-0.108740239270665,-0.0490905694014938,-0.0203690891167992,0.00857278150562588,-0.0569730837360268,-0.0567652536973925,0.220521822902767,-0.174261692013158,-0.21956690107798,0.323184079101189,-0.14493294913507,-0.0724408744170843,0.242407574952661,-0.174261692013158,-0.21956690107798,0.323184079101189,-0.14493294913507,-0.0724408744170843,0.242407574952661,-0.0365441472703551,-0.0594755751262669,-0.148186071453682,-0.14493294913507,-0.0724408744170843,0.242407574952661,-0.0365441472703551,-0.0594755751262669,-0.148186071453682,0.0232406805571916,-0.222496778720552,-0.111653217250877,-0.0365441472703551,-0.0594755751262669,-0.148186071453682,0.0232406805571916,-0.222496778720552,-0.111653217250877,-0.0551753635462084,-0.0911486556884579,-0.128855462078074,0.0232406805571916,-0.222496778720552,-0.111653217250877,-0.0551753635462084,-0.0911486556884579,-0.128855462078074,-0.0394435342300235,-0.0976367666348579,0.0635408560480236
230717012,-0.186109650373393,-0.0757551365500832,-0.02302083220185,0.020982714265762,-0.137775826123312,0.114349569098256,-0.0230449394592901,-0.11060449920985,0.0901545761181357,0.020982714265762,-0.137775826123312,0.114349569098256,-0.0230449394592901,-0.11060449920985,0.0901545761181357,-0.120490997807001,0.00572743121130521,-0.0726815073552073,-0.0230449394592901,-0.11060449920985,0.0901545761181357,-0.120490997807001,0.00572743121130521,-0.0726815073552073,0.0509068584936112,-0.0348386472674879,0.0366556986865783,-0.120490997807001,0.00572743121130521,-0.0726815073552073,0.0509068584936112,-0.0348386472674879,0.0366556986865783,0.050751893769382,-0.00434271083009288,0.0395827687743053,0.0509068584936112,-0.0348386472674879,0.0366556986865783,0.050751893769382,-0.00434271083009288,0.0395827687743053,-0.192081289194586,-0.0125608754847196,-0.151539618142549,0.0775348157193238,-0.189266868427579,-0.0765474690293553,0.198586993891935,-0.0475975998669743,0.0441963387600662,0.108483962385793,-0.128931821135054,-0.0701970322646579,0.198586993891935,-0.0475975998669743,0.0441963387600662,0.108483962385793,-0.128931821135054,-0.0701970322646579,-0.009709028439531,0.137129367512605,-0.139514470840813,0.108483962385793,-0.128931821135054,-0.0701970322646579,-0.009709028439531,0.137129367512605,-0.139514470840813,0.0477437204540986,0.0719680326636213,-0.00587418575475399,-0.009709028439531,0.137129367512605,-0.139514470840813,0.0477437204540986,0.0719680326636213,-0.00587418575475399,0.0263728928081431,0.133565809436564,-0.105164503801984,0.0477437204540986,0.0719680326636213,-0.00587418575475399,0.0263728928081431,0.133565809436564,-0.105164503801984,-0.0793030441004311,-0.0816802823285927,-0.140133006226107
230717013,-0.147896445174043,-0.0949237716355365,0.0650861820468714,-0.121556152429246,-0.205609966584114,0.195950303771938,-0.103930331367611,-0.10303602295275,0.16814363053075,-0.121556152429246,-0.205609966584114,0.195950303771938,-0.103930331367611,-0.10303602295275,0.16814363053075,-0.0275247059805746,0.0698459798806735,0.15441175392934,-0.103930331367611,-0.10303602295275,0.16814363053075,-0.0275247059805746,0.0698459798806735,0.15441175392934,-0.148078611341025,-0.193494015409432,0.0996250598607817,-0.0275247059805746,0.0698459798806735,0.15441175392934,-0.148078611341025,-0.193494015409432,0.0996250598607817,-0.104770321578401,-0.0559007858513087,0.160580632953607,-0.148078611341025,-0.193494015409432,0.0996250598607817,-0.104770321578401,-0.0559007858513087,0.160580632953607,-0.0589058672245528,-0.0590455085387756,-0.00685420246166215,0.200555164196732,0.16552441275551,0.311382480082141,0.297779789852329,0.177154618744078,0.361666907571081,0.24532986317997,0.202391155460204,0.32224644745773,0.297779789852329,0.177154618744078,0.361666907571081,0.24532986317997,0.202391155460204,0.32224644745773,0.102519337785301,0.16378985203152,0.116674684024605,0.24532986317997,0.202391155460204,0.32224644745773,0.102519337785301,0.16378985203152,0.116674684024605,0.323702849386532,0.210694030957893,0.317055412788833,0.102519337785301,0.16378985203152,0.116674684024605,0.323702849386532,0.210694030957893,0.317055412788833,0.305461425653884,0.21319833159186,0.289257440041034,0.323702849386532,0.210694030957893,0.317055412788833,0.305461425653884,0.21319833159186,0.289257440041034,0.0514936086361066,0.0171398068144589,0.104619359355067
